"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq244","ind247"
53597,1,2,2,2,2,2,2,2,2,8,1.36,2,2,1
53598,1,2,2,2,2,2,1,2,2,5,0.88,1,2,1
53599,1,1,2,2,2,2,2,1,2,3,0.79,1,NA,NA
53600,1,2,2,2,2,2,2,2,2,3,0.66,1,2,1
53601,1,2,2,2,2,2,2,2,2,6,1.16,1,2,1
53602,2,1,2,2,2,2,2,1,2,2,0.44,1,NA,NA
53603,1,1,2,2,2,2,2,2,2,3,0.36,1,2,1
53604,1,2,1,2,1,2,2,1,1,7,3.32,3,NA,NA
53605,2,2,1,1,2,1,2,2,2,2,0.78,1,2,1
53606,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA
53607,2,2,1,2,2,2,2,1,2,3,1.09,1,NA,NA
53608,1,2,2,2,2,2,2,2,2,8,1.63,2,2,1
53609,1,1,2,2,1,2,2,1,2,7,3.32,3,NA,NA
53610,2,2,1,2,1,2,2,1,2,4,1.66,2,1,NA
53611,1,2,2,2,2,2,2,1,2,NA,NA,NA,NA,NA
53612,2,1,2,2,2,1,1,2,2,2,0.19,1,2,1
53613,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
53614,1,1,1,2,2,1,2,2,1,9,2.33,3,2,1
53615,1,2,2,2,2,2,2,2,2,8,1.86,3,2,1
53616,2,2,1,2,2,2,2,1,2,77,NA,3,1,NA
53617,2,2,2,2,2,1,2,2,2,2,0.42,1,2,1
53618,1,2,2,2,2,2,2,2,2,10,2.99,3,NA,NA
53619,1,2,2,2,2,2,2,2,2,8,1.86,3,NA,NA
53620,2,2,2,2,2,2,2,2,2,1,0,1,2,1
53621,1,2,2,2,2,2,2,2,2,99,NA,2,2,99
53622,2,2,2,2,1,2,2,1,2,12,5,3,NA,NA
53623,1,2,2,2,2,2,2,2,2,6,1.06,1,2,1
53624,1,2,2,1,2,2,2,2,2,2,0.2,1,2,1
53625,1,1,2,2,2,2,2,1,1,5,2.22,3,NA,NA
53626,2,2,1,2,1,2,2,1,2,7,2.47,3,1,NA
53627,1,2,2,2,2,2,2,2,2,7,1.63,2,NA,NA
53628,1,2,2,2,2,2,2,2,2,99,NA,1,2,1
53629,1,2,2,2,2,2,2,2,2,4,0.82,1,2,1
53630,1,2,2,2,2,2,2,1,2,5,2.22,3,2,6
53631,1,2,1,2,2,2,2,2,1,2,0.6,1,2,1
53632,2,2,2,2,2,2,2,2,2,1,0,1,2,1
53633,1,2,2,2,2,2,2,2,2,5,1.65,2,2,1
53634,2,2,1,2,2,1,2,2,2,3,0.44,1,2,1
53635,1,2,2,2,2,2,2,2,2,9,4.28,3,NA,NA
53636,1,2,1,2,1,1,2,2,1,99,NA,1,2,1
53637,2,2,1,1,2,2,2,2,2,3,0.89,1,2,1
53638,1,2,2,2,2,2,2,2,2,4,0.7,1,NA,NA
53639,2,2,1,1,1,2,2,1,2,8,4.99,3,NA,NA
53640,1,2,2,1,2,2,2,1,2,10,4.06,3,NA,NA
53641,1,1,2,2,2,2,2,2,2,6,1.21,1,1,NA
53642,1,2,2,2,2,2,2,2,2,5,1.25,1,2,1
53643,1,2,2,2,2,2,2,1,2,5,2.22,3,NA,NA
53644,1,2,2,2,2,2,2,2,2,5,1.25,1,2,1
53645,1,1,2,2,2,2,2,2,2,3,0.36,1,2,1
53646,2,1,2,2,2,2,2,2,2,6,1.77,2,2,1
53647,1,2,2,1,2,2,2,2,2,4,0.82,1,2,1
53648,1,2,2,2,2,2,2,2,1,7,1.63,2,2,2
53649,1,1,2,2,2,2,2,1,2,8,2.18,3,NA,NA
53650,1,2,2,2,2,2,2,1,1,12,5,3,NA,NA
