"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq300","ind310","inq320"
101994,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
101995,1,2,1,1,2,2,2,2,2,6,2.49,3,2,1,2
101996,2,1,2,2,2,2,2,2,1,1,0,1,2,1,7
101997,1,2,2,2,2,2,2,2,2,77,NA,7,7,NA,1
101998,1,2,2,2,2,2,2,2,2,8,2,3,2,1,1
101999,1,1,2,2,1,2,2,1,1,12,5,3,1,NA,1
102000,1,1,1,2,2,2,2,2,2,12,5,3,2,1,1
102001,1,2,2,2,2,2,2,2,2,7,1.53,2,2,4,1
102002,2,2,1,2,1,2,2,1,2,77,NA,3,1,NA,1
102003,1,2,2,2,2,2,2,1,2,11,3.26,3,1,NA,2
102004,1,2,2,2,2,2,2,1,2,11,3.35,3,1,NA,1
102005,1,2,2,2,2,2,2,2,1,9,2.56,3,2,1,1
102006,1,2,2,2,2,2,2,2,2,1,0,1,2,1,1
102007,1,2,2,2,2,2,2,1,2,7,1.22,1,1,NA,1
102008,1,2,2,2,2,2,2,2,1,7,2.59,3,2,1,1
102009,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
102010,1,2,2,2,2,2,2,2,2,3,0.44,1,2,1,1
102011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102012,2,2,1,1,2,1,1,2,2,99,NA,1,2,2,6
102013,1,2,2,2,2,2,2,1,1,8,1.46,2,1,NA,1
102014,1,2,2,2,2,2,2,2,1,2,0.29,1,2,1,1
102015,1,2,2,2,2,2,2,2,2,1,0,1,2,1,1
102016,1,2,2,2,2,2,2,2,2,99,NA,9,9,NA,7
102017,1,2,1,2,2,2,2,2,2,6,1.46,2,2,1,1
102018,1,2,1,1,1,2,2,2,2,7,2.14,3,2,1,1
102019,2,2,2,2,2,2,2,2,2,1,0,1,2,1,4
102020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102021,1,2,2,2,2,2,2,2,2,3,0.74,1,2,1,4
102022,1,2,2,2,2,2,2,2,2,7,3.48,3,1,NA,1
102023,1,2,2,2,2,2,1,2,2,99,NA,1,2,1,1
102024,1,2,2,2,2,2,2,2,2,77,NA,3,2,3,1
102025,1,2,2,2,2,2,2,2,2,12,4.89,3,2,1,1
102026,2,1,2,2,2,2,2,2,1,7,3.46,3,2,3,1
102027,2,2,1,2,2,1,1,2,2,3,0.91,1,2,3,1
102028,1,2,2,2,2,2,2,2,2,99,NA,1,2,4,1
102029,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
102030,1,1,2,2,2,2,2,2,2,5,0.71,1,2,1,2
102031,1,2,2,2,2,2,1,2,2,11,3.76,3,1,NA,1
102032,2,2,1,1,1,2,2,2,1,4,1.29,1,2,1,2
102033,1,2,2,2,2,2,2,2,2,9,2.59,3,2,1,1
102034,1,2,2,2,2,2,2,2,2,5,0.4,1,2,1,1
102035,1,1,1,1,2,2,2,2,2,10,5,3,2,1,1
102036,1,1,2,2,2,2,2,2,2,6,1.5,2,2,1,1
102037,1,2,1,2,2,2,1,2,2,4,1.38,2,2,1,1
102038,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
102039,1,2,1,2,1,2,2,1,2,8,2.35,3,1,NA,1
102040,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
102041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102042,1,1,2,2,2,2,2,2,2,99,NA,3,1,NA,1
102043,1,2,2,2,2,2,2,2,1,7,1.43,2,2,1,1
102044,1,1,2,2,2,2,2,1,2,6,2.77,3,2,1,1
102045,1,2,2,2,1,1,2,2,2,6,1.27,1,2,1,1
102046,1,2,2,2,2,2,2,2,2,7,0.92,1,2,3,1
102047,1,2,2,2,2,2,2,2,2,99,NA,1,1,NA,1
102048,2,2,1,2,1,2,2,2,2,4,1.29,1,2,1,6
102049,7,7,2,2,2,2,2,2,2,77,NA,9,2,1,1
102050,1,2,2,2,2,2,2,2,1,6,2.77,3,2,4,1
