"seqn","inq020","inq012","inq030","inq060","inq080","inq090","inq132","inq140","inq150","ind235","indfmmpi","indfmmpc","inq300","ind310","inq320"
83988,1,2,2,2,2,2,2,2,1,9,2.11,3,2,1,1
83989,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
83990,2,2,2,2,2,2,2,2,2,3,0.65,1,2,1,2
83991,1,2,2,2,2,2,2,2,2,4,0.9,1,2,1,1
83992,1,2,1,2,1,2,2,2,2,8,3,3,2,1,1
83993,1,2,2,2,2,2,2,2,2,3,1.05,1,2,1,1
83994,1,1,2,2,1,2,2,1,2,12,5,3,1,NA,1
83995,1,2,2,2,2,2,2,2,2,9,5,3,1,NA,1
83996,1,1,2,1,1,2,2,2,2,NA,NA,NA,NA,NA,4
83997,1,2,2,2,2,2,2,2,2,4,0.54,1,2,1,1
83998,1,1,2,2,2,2,2,1,2,8,3.87,3,2,2,1
83999,2,2,1,1,1,2,2,2,2,3,0.9,1,2,1,4
84000,2,2,2,2,2,2,2,2,1,2,0.18,1,2,1,3
84001,1,2,2,2,2,2,2,2,2,1,0,1,1,NA,6
84002,1,2,2,2,2,2,2,2,2,9,5,3,1,NA,1
84003,1,2,2,2,2,2,2,2,2,99,NA,9,2,1,1
84004,1,2,2,2,2,2,2,2,2,10,2.72,3,2,1,1
84005,1,2,2,2,2,2,2,2,2,6,2.22,3,2,1,1
84006,1,2,9,9,9,2,2,2,2,99,NA,1,2,1,2
84007,1,2,2,2,2,2,2,2,2,99,NA,2,2,3,2
84008,1,1,2,2,2,2,2,1,2,5,1.51,2,2,1,1
84009,1,2,2,2,2,2,2,1,2,77,NA,3,1,NA,1
84010,1,1,1,2,2,2,2,2,2,7,2.26,3,1,NA,1
84011,1,2,2,1,2,2,2,2,2,7,1.47,2,2,1,1
84012,1,2,2,2,2,2,2,2,2,9,2.03,3,2,1,1
84013,1,2,2,2,2,2,2,2,1,9,1.76,2,2,1,1
84014,1,2,2,2,2,2,2,2,2,11,5,3,1,NA,1
84015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84016,1,1,2,2,2,2,2,2,2,12,5,3,2,2,1
84017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84018,1,2,2,2,2,2,2,2,2,10,5,3,2,1,1
84019,1,2,2,2,2,2,2,2,2,7,1.48,2,1,NA,1
84020,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
84021,1,2,2,2,2,2,2,2,2,8,1.47,2,2,1,1
84022,1,2,2,2,2,2,2,2,2,9,2.86,3,2,1,1
84023,1,2,1,1,1,2,2,2,1,99,NA,9,2,99,1
84024,1,2,2,2,2,2,2,1,2,12,4,3,1,NA,1
84025,1,2,2,2,2,2,2,2,2,7,1.08,1,2,1,1
84026,1,2,2,2,2,1,2,2,2,2,0.36,1,2,1,3
84027,2,2,2,2,2,2,2,2,2,1,0,1,2,1,1
84028,1,2,2,2,2,1,2,2,2,12,5,3,1,NA,1
84029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84030,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
84031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84032,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
84033,1,1,1,1,2,1,2,1,2,9,2.75,3,2,1,1
84034,1,1,2,2,2,2,1,2,1,6,1.05,1,2,1,1
84035,1,2,2,2,2,1,1,2,2,2,0.25,1,2,1,1
84036,1,1,2,2,2,2,2,1,2,7,2.4,3,2,3,6
84037,1,2,2,2,1,2,2,1,2,12,5,3,1,NA,1
84038,1,2,2,2,2,2,2,2,2,5,1.72,2,2,2,1
84039,1,2,1,2,2,1,2,2,2,5,0.99,1,2,1,1
84040,1,1,2,2,2,2,2,7,7,77,NA,3,7,NA,1
84041,1,2,1,1,1,2,2,1,1,12,5,3,1,NA,1
84042,1,2,1,2,1,2,2,1,2,4,1.08,1,1,NA,1
84043,1,2,2,2,2,2,2,2,2,4,0.68,1,2,1,1
84044,1,2,2,2,2,2,2,2,2,9,2.11,3,2,1,7
84045,1,1,2,2,2,2,2,2,2,8,1.2,1,2,3,1
84046,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
84047,1,1,1,2,2,2,2,1,2,12,5,3,1,NA,1
84048,1,2,2,2,2,2,2,2,2,11,4.18,3,2,2,1
84049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84050,1,1,1,2,1,2,9,1,2,77,NA,3,1,NA,1
84051,1,2,2,2,2,2,2,2,2,7,2.21,3,2,1,1
84052,1,2,2,2,1,2,2,2,2,12,4.22,3,2,1,1
84053,1,2,2,2,2,2,2,2,2,6,0.75,1,2,1,1
84054,1,2,2,2,2,2,2,2,2,77,NA,1,2,1,1
84055,1,2,1,1,1,2,2,2,2,7,2.26,3,2,1,1
84056,1,2,2,2,2,2,2,2,2,11,3.61,3,2,1,4
84057,1,1,2,2,2,2,1,2,1,6,1.05,1,2,1,1
84058,1,2,2,2,2,2,2,1,2,8,1.86,3,2,4,1
84059,1,1,2,2,2,2,2,2,1,3,0.32,1,2,1,1
84060,1,2,2,1,2,1,1,2,2,5,0.76,1,2,1,2
84061,1,2,2,1,1,2,2,1,2,9,3.77,3,2,1,1
84062,1,2,2,2,2,2,2,2,2,5,0.74,1,2,1,1
84063,1,1,1,2,2,2,2,2,2,5,0.74,1,2,1,1
84064,1,2,2,2,2,2,2,2,1,99,NA,2,2,1,1
84065,1,2,2,2,2,2,2,2,2,7,3.06,3,2,1,1
84066,1,1,2,2,2,2,2,2,2,12,5,3,1,NA,1
84067,1,2,2,2,2,2,2,2,2,7,1.1,1,2,3,1
84068,1,2,2,2,2,2,2,2,2,8,4.55,3,1,NA,1
84069,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,2
84070,1,2,2,2,2,2,2,2,2,8,4.08,3,2,1,4
84071,1,2,1,1,1,2,2,2,2,9,2.48,3,1,NA,1
84072,1,2,2,2,2,2,2,1,2,9,3.09,3,2,1,1
84073,1,2,2,1,2,2,2,2,2,9,1.22,1,1,NA,1
84074,1,2,2,2,2,2,2,2,2,4,0.74,1,2,1,1
84075,2,2,1,2,2,2,2,2,2,4,1.44,2,2,1,1
84076,1,1,2,2,2,2,2,2,2,8,1.12,1,2,1,1
84077,1,2,2,2,2,2,2,2,2,11,4.78,3,2,1,1
84078,1,2,2,2,2,2,2,2,2,4,0.9,1,2,1,3
84079,1,2,2,2,1,2,2,2,1,7,1.9,3,2,1,1
84080,1,2,2,2,2,2,2,2,1,99,NA,3,2,1,1
84081,1,1,1,2,2,2,2,1,2,8,1.82,2,7,NA,1
84082,1,2,2,2,2,2,2,2,2,1,0,1,7,NA,1
84083,1,2,2,2,2,1,2,2,2,1,0,1,2,1,1
84084,1,2,2,2,2,2,2,2,2,2,0.36,1,2,1,1
84085,2,2,2,2,2,2,2,2,1,2,0.3,1,2,1,1
84086,1,2,2,2,2,2,2,2,2,11,3.68,3,2,1,1
84087,1,2,2,2,2,2,2,2,2,12,4.45,3,1,NA,1
84088,1,1,1,1,2,1,2,2,2,12,3.31,3,1,NA,1
84089,1,1,2,2,2,2,2,1,2,5,1.82,2,2,1,1
84090,1,2,2,2,2,2,2,2,2,6,1.66,2,2,3,1
84091,1,2,2,2,1,2,2,2,2,12,5,3,2,2,1
84092,1,2,2,2,2,2,2,2,2,6,1.14,1,2,1,4
84093,1,2,2,2,2,2,2,1,2,9,2.47,3,2,1,1
84094,2,1,1,2,1,2,2,1,2,12,5,3,1,NA,1
84095,1,2,1,2,2,2,2,2,2,6,2.02,3,1,NA,1
84096,1,2,2,2,2,2,2,2,2,1,0,1,2,1,1
84097,1,2,2,2,2,2,2,1,2,10,3.57,3,1,NA,1
84098,1,1,2,2,2,2,2,2,2,7,0.95,1,2,1,1
84099,1,2,2,1,1,2,2,2,1,99,NA,3,2,2,1
84100,1,2,2,2,2,2,2,2,2,3,0.51,1,2,1,1
84101,2,2,1,1,1,2,2,1,1,9,3.75,3,1,NA,1
84102,1,2,2,2,2,2,2,2,2,6,1.09,1,2,2,1
84103,2,2,2,2,2,1,2,2,2,2,0.75,1,2,1,1
84104,1,2,2,2,2,1,2,2,2,6,0.97,1,2,1,1
84105,1,2,2,2,2,2,2,2,2,7,1.48,2,2,2,1
84106,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
84107,1,2,2,2,2,2,2,2,2,99,NA,9,2,99,1
84108,2,2,1,2,2,2,2,2,2,3,1.09,1,2,5,4
84109,1,1,1,2,1,2,2,1,2,12,5,3,1,NA,1
84110,1,2,2,2,2,2,2,2,2,7,0.73,1,2,1,1
84111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84112,1,2,2,2,2,2,2,2,2,6,1.43,2,2,1,4
84113,1,2,2,2,2,2,1,2,1,3,0.42,1,2,77,1
84114,1,2,2,2,2,2,2,2,1,2,0.75,1,2,1,1
84115,2,2,1,2,1,2,2,2,2,NA,NA,NA,NA,NA,1
84116,1,2,2,2,2,2,2,2,2,9,2.93,3,2,5,1
