"seqn","ocd150","ocq180","ocq210","ocd231","ocd241","ocq260","ocq265","ocd270","ocq290g","ocq290q","ocq380","ocd390g","ocd391","ocd392","ocd395","ocq510","ocq520","ocq530","ocq540","ocq550","ocq560","ocq570","ocq580"
50933,2,NA,1,6,17,1,3,12,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50934,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,7,17,36,2,NA,2,NA,2,NA,2,NA
50935,1,38,NA,14,3,1,1,1,2,NA,NA,2,NA,NA,NA,2,NA,1,9,2,NA,2,NA
50936,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,10,120,2,NA,2,NA,2,NA,1,10
50937,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,16,11,120,2,NA,1,3,2,NA,2,NA
50939,1,50,NA,12,16,5,1,9,2,NA,NA,1,12,16,96,1,4,1,0,2,NA,1,4
50940,1,45,NA,6,16,1,1,72,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50941,1,70,NA,14,14,1,1,7,1,2,NA,2,NA,NA,NA,1,6,1,7,2,NA,2,NA
50942,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,8,16,156,2,NA,2,NA,2,NA,2,NA
50943,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,16,36,1,1,2,NA,1,1,2,NA
50944,1,20,1,18,13,1,4,12,2,NA,NA,1,8,16,36,2,NA,2,NA,2,NA,2,NA
50946,1,60,NA,14,14,1,5,60,2,NA,NA,2,NA,NA,NA,1,5,1,5,1,5,1,3
50948,1,38,NA,11,17,1,1,36,2,NA,NA,2,NA,NA,NA,1,7,1,7,1,5,1,5
50949,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,18,240,2,NA,1,20,2,NA,2,NA
50950,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,22,420,1,2,2,NA,1,2,2,NA
50954,1,40,NA,13,3,1,1,6,2,NA,NA,1,8,16,36,2,NA,2,NA,2,NA,2,NA
50956,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50957,1,50,NA,8,19,1,1,12,1,4,NA,2,NA,NA,NA,1,1,2,NA,2,NA,2,NA
50958,1,45,NA,7,22,1,1,36,2,NA,NA,2,NA,NA,NA,1,10,2,NA,1,10,1,30
50959,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50960,1,25,2,15,16,4,1,24,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50962,1,56,NA,5,21,1,5,24,2,NA,NA,1,22,23,48,2,NA,2,NA,1,2,1,2
50963,1,32,2,17,9,1,1,60,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50964,1,40,NA,11,1,1,1,8,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50965,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50967,1,48,NA,20,14,5,1,60,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50968,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,5,20,420,NA,NA,NA,NA,NA,NA,NA,NA
50969,1,36,NA,18,22,1,2,72,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
50974,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,16,22,132,2,NA,2,NA,2,NA,2,NA
50975,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,17,300,2,NA,2,NA,2,NA,2,NA
